route,status,title,description,canonical,flags
/blog/remove-stains-from-marble,200,How to Remove Stains from Marble,"Poultice methods by stain type: oil, tea, rust, ink, and when a mark is an etch, not a stain.",/blog/remove-stains-from-marble,desc 93ch
/blog/how-to-seal-marble,200,How to Seal Marble (And When Not To),"Choosing and applying impregnating sealers, testing whether stone needs sealing, and honest limits.",/blog/how-to-seal-marble,desc 99ch
/blog/marble-etching-vs-staining,200,Marble Etching vs Staining: Know the Difference,"Why the distinction decides the fix, how to diagnose in ten seconds, and the repair path for each.",/blog/marble-etching-vs-staining,desc 98ch
/blog/stone-cleaning-products-guide,200,Stone Cleaning Products: What to Use Where,"A straight guide to neutral cleaners, degreasers, rust removers and protectors across marble, quartz and terrazzo.",/blog/stone-cleaning-products-guide,desc 114ch
/blog/jacuzzi-vs-hot-tub-vs-spa,200,Jacuzzi vs Hot Tub vs Spa: The Differences,"What the three terms actually mean, whirlpool baths vs outdoor spas, and which fits a UAE home.",/blog/jacuzzi-vs-hot-tub-vs-spa,desc 95ch
/blog/jacuzzi-maintenance-uae,200,Jacuzzi & Spa Maintenance in the UAE,"Water care, filters and covers in high heat: keeping a spa clean and cool through a Gulf summer.",/blog/jacuzzi-maintenance-uae,desc 96ch
/blog/whirlpool-bath-installation-guide,200,Whirlpool Bath Installation: What to Plan,"Plumbing, power, access panels and structure: the decisions before a whirlpool bath goes in.",/blog/whirlpool-bath-installation-guide,desc 92ch
/blog/engineered-stone-vs-porcelain-slabs,200,Engineered Stone vs Porcelain Slabs,"Quartz and engineered marble against large-format porcelain: performance, cost, edges and repair.",/blog/engineered-stone-vs-porcelain-slabs,desc 97ch
/blog/commercial-flooring-stone-guide,200,Stone Flooring for Commercial Spaces in UAE,"Specifying terrazzo, engineered marble and quartz for retail, hospitality and office floors: traffic, slip, upkeep.",/blog/commercial-flooring-stone-guide,desc 115ch
/blog/how-to-choose-bathroom-vanity-top,200,Choosing a Bathroom Vanity Top,"Quartz, engineered marble and integrated basins compared for the surface that takes the most daily abuse.",/blog/how-to-choose-bathroom-vanity-top,desc 105ch
/blog/marble-look-without-natural-marble,200,The Marble Look Without Natural Marble,"Engineered marble, veined quartz and porcelain ranked by how convincingly each delivers marble's look.",/blog/marble-look-without-natural-marble,desc 102ch
/blog/kalingastone-price-uae,200,KalingaStone Price in the UAE (2026): Real AED Ranges,"What KalingaStone quartz, marble and terrazzo slabs actually cost in the UAE, in AED, from the authorized reseller's own racks.",/blog/kalingastone-price-uae,
/blog/kalingastone-vs-caesarstone,200,KalingaStone vs Caesarstone: The UAE Comparison,"Two engineered stone brands compared for UAE buyers: range, slab formats, certifications, price bands and where each wins.",/blog/kalingastone-vs-caesarstone,
/blog/quartz-countertops-sharjah,200,"Quartz Countertops in Sharjah: Supplier, Prices, Stock","Quartz worktops for Sharjah projects: real AED ranges, slab stock at Al Sajaa, delivery zones and how trade buyers order.",/blog/quartz-countertops-sharjah,
/blog/hard-water-stains-on-marble,200,Hard Water Stains on Marble: The UAE Fix,"Why UAE tap water marks marble, how to remove mineral deposits safely, and the habits that stop the white film returning.",/blog/hard-water-stains-on-marble,
/blog/jaquar-vs-grohe,200,Jaquar vs Grohe: An Honest UAE Comparison,"Cartridges, finishes, spares and price compared for the two bathroom brands UAE buyers shortlist most, with a clear verdict by project type.",/blog/jaquar-vs-grohe,
/blog/category/stone-guides,200,Stone Guides - The Journal - Global Classic UAE,"Engineered marble, quartz and terrazzo explained the way specifiers need them explained: composition, honest comparisons, formats and where each surface...",/blog/category/stone-guides,
/blog/category/care-maintenance,200,Care & Maintenance - The Journal - Global Classic UAE,"Stone fails in the UAE for local reasons: sand underfoot, hard water on vanities, acids in the kitchen and heat everywhere. This cluster covers the whole...",/blog/category/care-maintenance,
/blog/category/bathrooms,200,Bathrooms - The Journal - Global Classic UAE,"Taps, showers, sanitaryware and the finishes that survive desalinated hard water. These guides tier the brands honestly, explain PVD coatings, size shower...",/blog/category/bathrooms,
/blog/category/wellness,200,Wellness & Spa - The Journal - Global Classic UAE,"Whirlpool baths, spas and the physics of enjoying hot water in a hot country. The UAE inverts spa ownership: chillers matter as much as heaters, covers...",/blog/category/wellness,
/blog/category/buying-guides,200,Buying Guides - The Journal - Global Classic UAE,"Prices in honest AED ranges, quote comparisons that expose weak suppliers, and specification advice for commercial floors. This cluster exists because...",/blog/category/buying-guides,
/,200,Marble Slab Supplier UAE - Global Classic Building Materials,"Wholesale marble, quartz and terrazzo slabs, Jaquar bathware and FILA care from Sharjah - KalingaStone authorized reseller, AED trade pricing, UAE delivery.",,
/products,200,"KalingaStone, Jaquar & FILA Products - Global Classic UAE","Quartz, engineered marble and terrazzo slabs, Jaquar bathware and FILA surface care - stocked in Sharjah and supplied wholesale across the UAE in AED.",/products,
/kalingastone,200,KalingaStone UAE - Authorized Reseller | Global Classic,"KalingaStone engineered quartz, marble and terrazzo in the UAE - 128 shades stocked as full slabs in Sharjah by an authorized reseller, AED trade pricing.",/kalingastone,
/kalingastone/quartz,200,KalingaStone Quartz Slabs UAE - 69 Shades | Global Classic,"The complete KalingaStone quartz range in the UAE - 69 shades across 7 series, NSF food safe, slabs up to 3300 x 2000 mm, stocked and supplied from Sharjah.",/kalingastone/quartz,
/kalingastone/marble,200,KalingaStone Marble Slabs UAE - 35 Shades | Global Classic,"The complete KalingaStone engineered marble range in the UAE - 35 shades across 5 series, 304 x 125 cm slabs, repolishable, stocked and supplied from Sharjah.",/kalingastone/marble,
/kalingastone/terrazzo,200,KalingaStone Terrazzo Slabs UAE - 24 Shades | Global Classic,"The complete KalingaStone terrazzo range in the UAE - 24 shades across 5 collections, A1 fire class, exterior ready, stocked and supplied from Sharjah.",/kalingastone/terrazzo,
/kalingastone/terrazzo/fluting,200,Fluted Terrazzo Panels UAE - KalingaStone Fluting,"KalingaStone's fluting programme - shallow machined grooves across terrazzo slabs. Nine catalogued samples from Ceppo to Exotic Green, supplied from Sharjah.",/kalingastone/terrazzo/fluting,
/jaquar,200,Jaquar Dealer UAE - Bathroom Fittings Price | Global Classic,"Authorized Jaquar dealer in the UAE - faucets, basins, WCs, showers, wellness and water heaters from Sharjah stock. 1,480 products with SKUs, AED trade pricing.",/jaquar,
/about,200,"About Us - Lapiz Group, Sharjah - Global Classic UAE","A 2024 Sharjah company in the Lapiz Group - KalingaStone slabs, Jaquar and FILA stocked at Al Sajaa for project buyers and BOQ supply across the UAE.",/about,
/blog,200,The Journal - Global Classic UAE,"Field notes from the slab trade: honest guides to engineered marble, quartz, terrazzo, bathroom fittings and stone care, written for UAE project buyers.",/blog,
/contact,200,Contact - AED Quotes & Trade Pricing - Global Classic UAE,"Send a BOQ, spec or idea to Global Classic, Sharjah - AED quotes on KalingaStone slabs, Jaquar and FILA within one working day, delivery across the UAE.",/contact,
/privacy-policy,200,Privacy Policy - Global Classic UAE,"How Global Classic Building Materials collects, uses and protects personal information on this website - data, cookies, contact details and your rights.",/privacy-policy,
/terms,200,Terms & Conditions - Global Classic UAE,"The terms governing use of the Global Classic Building Materials website - content, trademarks, liability and the laws of the United Arab Emirates.",/terms,
/jaquar/faucets,200,Jaquar Faucets UAE - Dealer Price & Supply | Global Classic,"Jaquar faucets in the UAE - 37 collections with SKUs, specs and official imagery. AED trade pricing from Sharjah stock, dealer warranty honoured.",/jaquar/faucets,
/jaquar/faucets/aria,200,Jaquar Aria UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Aria in the UAE - all 32 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/aria,
/jaquar/faucets/kubix-prime,200,Jaquar Kubix Prime UAE - Faucets - Price & SKUs,"Jaquar Kubix Prime in the UAE - all 31 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/kubix-prime,
/jaquar/faucets/fusion-prime,200,Jaquar Fusion Prime UAE - Faucets - Price & SKUs,"Jaquar Fusion Prime in the UAE - the full range with specifications, finishes and official imagery. Delivery to every emirate.",/jaquar/faucets/fusion-prime,
/jaquar/faucets/laguna,200,Jaquar Laguna UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Laguna in the UAE - all 33 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/laguna,
/jaquar/faucets/continental-prime,200,Jaquar Continental Prime UAE - Faucets - Price & SKUs,"Jaquar Continental Prime in the UAE - all 28 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/continental-prime,
/jaquar/faucets/sensor-taps,200,Jaquar Sensor Taps UAE - Faucets - Price & SKUs,"Jaquar Sensor Taps in the UAE - all 48 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/sensor-taps,
/jaquar/faucets/opal-prime,200,Jaquar Opal Prime UAE - Faucets - Price & SKUs,"Jaquar Opal Prime in the UAE - all 29 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/opal-prime,
/jaquar/faucets/vignette-prime,200,Jaquar Vignette Prime UAE - Faucets - Price & SKUs,"Jaquar Vignette Prime in the UAE - all 31 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/vignette-prime,
/jaquar/faucets/ornamix-prime,200,Jaquar Ornamix Prime UAE - Faucets - Price & SKUs,"Jaquar Ornamix Prime in the UAE - all 30 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/ornamix-prime,
/jaquar/faucets/alive,200,Jaquar Alive UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Alive in the UAE - all 24 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/alive,
/jaquar/faucets/queens-prime,200,Jaquar Queen's Prime UAE - Faucets - Price & SKUs,"Jaquar Queen's Prime in the UAE - all 27 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/queens-prime,
/jaquar/faucets/queens,200,Jaquar Queen's UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Queen's in the UAE - all 29 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/queens,
/jaquar/faucets/rendezvous,200,Jaquar Rendezvous UAE - Faucets - Price & SKUs,"Jaquar Rendezvous in the UAE - all 13 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/rendezvous,
/jaquar/faucets/lyric,200,Jaquar Lyric UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Lyric in the UAE - all 29 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/lyric,
/jaquar/faucets/solo,200,Jaquar Solo UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Solo in the UAE - all 56 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/solo,
/jaquar/faucets/florentine,200,Jaquar Florentine UAE - Faucets - Price & SKUs,"Jaquar Florentine in the UAE - all 67 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/florentine,
/jaquar/faucets/florentine-prime,200,Jaquar Florentine Prime UAE - Faucets - Price & SKUs,"Jaquar Florentine Prime in the UAE - all 35 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/florentine-prime,
/jaquar/faucets/continental,200,Jaquar Continental UAE - Faucets - Price & SKUs,"Jaquar Continental in the UAE - all 23 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/continental,
/jaquar/faucets/astra,200,Jaquar Astra UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Astra in the UAE - all 14 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/astra,
/jaquar/faucets/arc,200,Jaquar Arc UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Arc in the UAE - all 10 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/arc,
/jaquar/faucets/pressmatic,200,Jaquar Pressmatic Taps UAE - Faucets - Price & SKUs,"Jaquar Pressmatic Taps in the UAE - all 14 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/pressmatic,
/jaquar/faucets/medi-series,200,Jaquar Medi Series UAE - Faucets - Price & SKUs,"Jaquar Medi Series in the UAE - all 4 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/medi-series,
/jaquar/faucets/floor-mounted,200,Jaquar Floor Mounted UAE - Faucets - Price & SKUs,"Jaquar Floor Mounted in the UAE - all 13 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/floor-mounted,
/jaquar/faucets/eko,200,Jaquar Eko UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Eko in the UAE - all 23 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/eko,
/jaquar/faucets/fusion,200,Jaquar Fusion UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Fusion in the UAE - all 40 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/fusion,
/jaquar/faucets/allied,200,Jaquar Allied UAE - Faucets - Price & SKUs | Global Classic,"Jaquar Allied in the UAE - all 40 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/allied,
/jaquar/faucets/aquamax-thermostat,200,Jaquar Aquamax Thermostat UAE - Faucets - Price & SKUs,"Jaquar Aquamax Thermostat in the UAE - all 50 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/aquamax-thermostat,
/jaquar/faucets/thermostatic-mixers,200,Jaquar Thermostatic Mixers UAE - Faucets - Price & SKUs,"Jaquar Thermostatic Mixers in the UAE - all 19 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/thermostatic-mixers,
/jaquar/faucets/bathtub-spouts,200,Jaquar Bathtub Spouts UAE - Faucets - Price & SKUs,"Jaquar Bathtub Spouts in the UAE - all 38 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/bathtub-spouts,
/jaquar/faucets/spout-operating-taps,200,Jaquar Spout Operating Taps UAE - Faucets - Price & SKUs,"Jaquar Spout Operating Taps in the UAE - all 2 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/spout-operating-taps,
/jaquar/faucets/taps,200,Jaquar Taps - Quarter Turn & Classic UAE - Faucets,Jaquar Taps - Quarter Turn & Classic in the UAE - all 128 catalogue products with SKUs and finishes. Delivery to every emirate.,/jaquar/faucets/taps,
/jaquar/faucets/continental-accessories,200,Jaquar Continental Accessories UAE - Faucets - Price & SKUs,"Jaquar Continental Accessories in the UAE - all 30 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/continental-accessories,
/jaquar/faucets/continental-prime-accessories,200,Jaquar Continental Prime Accessories UAE - Faucets,Jaquar Continental Prime Accessories in the UAE - all 20 catalogue products with SKUs and finishes. Delivery to every emirate.,/jaquar/faucets/continental-prime-accessories,
/jaquar/faucets/kubix-prime-accessories,200,Jaquar Kubix Prime Accessories UAE - Faucets - Price & SKUs,"Jaquar Kubix Prime Accessories in the UAE - all 20 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/kubix-prime-accessories,
/jaquar/faucets/queens-accessories,200,Jaquar Queen's Accessories UAE - Faucets - Price & SKUs,"Jaquar Queen's Accessories in the UAE - all 10 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/queens-accessories,
/jaquar/faucets/rendezvous-crystal,200,Jaquar Rendezvous Crystal Collection UAE - Faucets,Jaquar Rendezvous Crystal Collection in the UAE - all 9 catalogue products with SKUs and finishes. Delivery to every emirate. BOQ quotes within one working day.,/jaquar/faucets/rendezvous-crystal,
/jaquar/faucets/combo-pack,200,Jaquar Combo Pack UAE - Faucets - Price & SKUs,"Jaquar Combo Pack in the UAE - all 7 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/faucets/combo-pack,
/jaquar/wash-basins,200,Jaquar Wash Basins UAE - Dealer Price & Supply,"Jaquar wash basins in the UAE - 7 collections with SKUs, specs and official imagery. AED trade pricing from Sharjah stock, dealer warranty honoured.",/jaquar/wash-basins,
/jaquar/wash-basins/table-top,200,Jaquar Table Top Basins UAE - Price & SKUs | Global Classic,"Jaquar Table Top Basins in the UAE - all 49 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/table-top,
/jaquar/wash-basins/counter-top,200,Jaquar Counter Top Basins UAE - Price & SKUs,"Jaquar Counter Top Basins in the UAE - all 5 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/counter-top,
/jaquar/wash-basins/under-counter,200,Jaquar Under Counter Basins UAE - Price & SKUs,"Jaquar Under Counter Basins in the UAE - all 9 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/under-counter,
/jaquar/wash-basins/wall-hung-basins,200,Jaquar Wall Hung Basins UAE - Price & SKUs | Global Classic,"Jaquar Wall Hung Basins in the UAE - all 21 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/wall-hung-basins,
/jaquar/wash-basins/pedestals,200,Jaquar Pedestals UAE - Wash Basins - Price & SKUs,"Jaquar Pedestals in the UAE - all 19 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/pedestals,
/jaquar/wash-basins/semi-recessed-corner,200,Jaquar Semi Recessed & Corner Basins UAE - Price & SKUs,Jaquar Semi Recessed & Corner Basins in the UAE - all 3 catalogue products with SKUs and finishes. Delivery to every emirate. BOQ quotes within one working day.,/jaquar/wash-basins/semi-recessed-corner,
/jaquar/wash-basins/washroom-equipment,200,Jaquar Washroom Equipment UAE - Wash Basins - Price & SKUs,"Jaquar Washroom Equipment in the UAE - all 12 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/wash-basins/washroom-equipment,
/jaquar/water-closets,200,Jaquar Water Closets UAE - Dealer Price & Supply,"Jaquar water closets in the UAE - 10 collections with SKUs, specs and official imagery. AED trade pricing from Sharjah stock, dealer warranty honoured.",/jaquar/water-closets,
/jaquar/water-closets/wall-hung-wcs,200,Jaquar Wall Hung WCs UAE - Water Closets - Price & SKUs,"Jaquar Wall Hung WCs in the UAE - all 26 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/wall-hung-wcs,
/jaquar/water-closets/floor-mounted-wcs,200,Jaquar Floor Mounted WCs UAE - Water Closets - Price & SKUs,"Jaquar Floor Mounted WCs in the UAE - all 50 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/floor-mounted-wcs,
/jaquar/water-closets/smart-wcs,200,Jaquar Smart & Sensor WCs UAE - Water Closets - Price & SKUs,"Jaquar Smart & Sensor WCs in the UAE - all 15 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/smart-wcs,
/jaquar/water-closets/bidets,200,Jaquar Bidets UAE - Water Closets - Price & SKUs,"Jaquar Bidets in the UAE - all 14 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/bidets,
/jaquar/water-closets/urinals,200,Jaquar Urinals UAE - Water Closets - Price & SKUs,"Jaquar Urinals in the UAE - all 5 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/urinals,
/jaquar/water-closets/accessible,200,Jaquar Accessible WCs & Basins UAE - Water Closets,"Jaquar Accessible WCs & Basins in the UAE - all 4 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/accessible,
/jaquar/water-closets/i-flush,200,Jaquar i-Flush UAE - Water Closets - Price & SKUs,"Jaquar i-Flush in the UAE - all 7 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/i-flush,
/jaquar/water-closets/flush-valves,200,Jaquar Flush Valves UAE - Water Closets - Price & SKUs,"Jaquar Flush Valves in the UAE - all 13 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/flush-valves,
/jaquar/water-closets/cisterns,200,Jaquar In-Wall Cisterns UAE - Water Closets - Price & SKUs,"Jaquar In-Wall Cisterns in the UAE - all 10 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/cisterns,
/jaquar/water-closets/flush-plates,200,Jaquar Flush Plates UAE - Water Closets - Price & SKUs,"Jaquar Flush Plates in the UAE - all 11 catalogue products with SKUs and finishes. AED trade pricing from Sharjah stock, Jaquar warranty honoured.",/jaquar/water-closets/flush-plates,
